Senate
"First Name","Last Name",Party,District,"Year Score","Lifetime Score",URL
Michelle,Fischbach,R,MN-07,0,2,https://www.lcv.org/moc/michelle-fischbach/
Pete,Stauber,R,MN-08,3,8,https://www.lcv.org/moc/pete-stauber/
Mississippi
Trent,Kelly,R,MS-01,0,1,https://www.lcv.org/moc/trent-kelly/
Bennie,Thompson,D,MS-02,97,85,https://www.lcv.org/moc/bennie-g-thompson/
Michael,Guest,R,MS-03,0,4,https://www.lcv.org/moc/michael-guest/
Mike,Ezell,R,MS-04,3,1,https://www.lcv.org/moc/mike-ezell/
Missouri
Wesley,Bell,D,MO-01,100,100,https://www.lcv.org/moc/wesley-bell/
Ann,Wagner,R,MO-02,0,6,https://www.lcv.org/moc/ann-wagner/
Robert,Onder,R,MO-03,0,0,https://www.lcv.org/moc/robert-f-onder/
Mark,Alford,R,MO-04,0,0,https://www.lcv.org/moc/mark-alford/
Emanuel,Cleaver,D,MO-05,100,91,https://www.lcv.org/moc/emanuel-cleaver/
Sam,Graves,R,MO-06,0,4,https://www.lcv.org/moc/sam-graves/
Eric,Burlison,R,MO-07,0,0,https://www.lcv.org/moc/eric-burlison/
Jason,Smith,R,MO-08,0,1,https://www.lcv.org/moc/jason-t-smith/
Montana
Ryan,Zinke,R,MT-01,3,3,https://www.lcv.org/moc/ryan-zinke/
Troy,Downing,R,MT-02,0,0,https://www.lcv.org/moc/troy-downing/
Nebraska
Mike,Flood,R,NE-01,0,2,https://www.lcv.org/moc/mike-flood/
Don,Bacon,R,NE-02,9,15,https://www.lcv.org/moc/don-bacon/
Adrian,Smith,R,NE-03,0,4,https://www.lcv.org/moc/adrian-m-smith/
Nevada
Dina,Titus,D,NV-01,100,97,https://www.lcv.org/moc/dina-titus/
Mark,Amodei,R,NV-02,0,6,https://www.lcv.org/moc/mark-e-amodei/
Susie,Lee,D,NV-03,88,94,https://www.lcv.org/moc/susie-lee/
Steven,Horsford,D,NV-04,88,90,https://www.lcv.org/moc/steven-a-horsford/
"New Hampshire"
Chris,Pappas,D,NH-01,97,97,https://www.lcv.org/moc/chris-pappas/
Maggie,Goodlander,D,NH-02,97,97,https://www.lcv.org/moc/maggie-goodlander/
"New Jersey"
Donald,Norcross,D,NJ-01,100,95,https://www.lcv.org/moc/donald-w-norcross/
Jefferson,"Van Drew",R,NJ-02,9,29,https://www.lcv.org/moc/jefferson-van-drew/
Herbert,Conaway,D,NJ-03,97,97,https://www.lcv.org/moc/herbert-c-conaway/
Christopher,Smith,R,NJ-04,6,54,https://www.lcv.org/moc/christopher-h-smith/
Josh,Gottheimer,D,NJ-05,79,92,https://www.lcv.org/moc/josh-gottheimer/
Frank,Pallone,D,NJ-06,100,97,https://www.lcv.org/moc/frank-j-pallone/
Thomas,Kean,R,NJ-07,9,18,https://www.lcv.org/moc/thomas-kean/
Robert,Menendez,D,NJ-08,100,100,https://www.lcv.org/moc/robert-menendez-2/
Nellie,Pou,D,NJ-09,100,100,https://www.lcv.org/moc/nellie-pou/
LaMonica,McIver,D,NJ-10,100,100,https://www.lcv.org/moc/lamonica-mciver/
Mikie,Sherrill,D,NJ-11,77,94,https://www.lcv.org/moc/mikie-sherrill/
Bonnie,"Watson Coleman",D,NJ-12,100,98,https://www.lcv.org/moc/bonnie-watson-coleman/
"New Mexico"
Melanie,Stansbury,D,NM-01,100,97,https://www.lcv.org/moc/melanie-stansbury/
Gabe,Vasquez,D,NM-02,79,88,https://www.lcv.org/moc/gabe-vasquez/
Teresa,"Leger Fernández",D,NM-03,100,99,https://www.lcv.org/moc/teresa-leger-fernandez/
"New York"
Nick,LaLota,R,NY-01,12,13,https://www.lcv.org/moc/nick-lalota/
Andrew,Garbarino,R,NY-02,9,15,https://www.lcv.org/moc/andrew-garbarino/
Thomas,Suozzi,D,NY-03,84,95,https://www.lcv.org/moc/thomas-suozzi/
Laura,Gillen,D,NY-04,84,84,https://www.lcv.org/moc/laura-gillen/
Gregory,Meeks,D,NY-05,97,91,https://www.lcv.org/moc/gregory-w-meeks/
Grace,Meng,D,NY-06,97,98,https://www.lcv.org/moc/grace-meng/
Nydia,"Velázquez ",D,NY-07,100,95,https://www.lcv.org/moc/nydia-velazquez/
Hakeem,Jeffries,D,NY-08,100,97,https://www.lcv.org/moc/hakeem-s-jeffries/
Yvette,Clarke,D,NY-09,100,96,https://www.lcv.org/moc/yvette-d-clarke/
Dan,Goldman,D,NY-10,100,100,https://www.lcv.org/moc/dan-goldman/
Nicole,Malliotakis,R,NY-11,9,7,https://www.lcv.org/moc/nicole-malliotakis/
Jerrold,Nadler,D,NY-12,100,98,https://www.lcv.org/moc/jerrold-l-nadler/
Adriano,Espaillat,D,NY-13,100,99,https://www.lcv.org/moc/adriano-espaillat/
Alexandria,Ocasio-Cortez,D,NY-14,100,98,https://www.lcv.org/moc/alexandria-ocasio-cortez/
Ritchie,Torres,D,NY-15,100,98,https://www.lcv.org/moc/ritchie-torres/
George,Latimer,D,NY-16,100,100,https://www.lcv.org/moc/george-latimer/
Michael,Lawler,R,NY-17,12,17,https://www.lcv.org/moc/michael-lawler/
Patrick,Ryan,D,NY-18,97,98,https://www.lcv.org/moc/patrick-ryan-2/
Josh,Riley,D,NY-19,97,97,https://www.lcv.org/moc/josh-riley/
Paul,Tonko,D,NY-20,100,98,https://www.lcv.org/moc/paul-d-tonko/
Elise,Stefanik,R,NY-21,0,23,https://www.lcv.org/moc/elise-stefanik/
John,Mannion,D,NY-22,97,97,https://www.lcv.org/moc/john-w-mannion/
Nick,Langworthy,R,NY-23,0,2,https://www.lcv.org/moc/nick-langworthy/
Claudia,Tenney,R,NY-24,0,3,https://www.lcv.org/moc/claudia-tenney/
Joe,Morelle,D,NY-25,91,96,https://www.lcv.org/moc/joe-morelle/
Timothy,Kennedy,D,NY-26,97,98,https://www.lcv.org/moc/timothy-kennedy/
"North Carolina"
Donald,Davis,D,NC-01,64,71,https://www.lcv.org/moc/donald-g-davis/
Deborah,Ross,D,NC-02,100,99,https://www.lcv.org/moc/deborah-ross/
Greg,Murphy,R,NC-03,0,6,https://www.lcv.org/moc/greg-murphy/
Valerie,Foushee,D,NC-04,100,100,https://www.lcv.org/moc/valerie-foushee/
Virginia,Foxx,R,NC-05,0,4,https://www.lcv.org/moc/virginia-foxx/
Addison,McDowell,R,NC-06,0,0,https://www.lcv.org/moc/addison-p-mcdowell/
David,Rouzer,R,NC-07,0,3,https://www.lcv.org/moc/david-rouzer/
Mark,Harris,R,NC-08,0,0,https://www.lcv.org/moc/mark-harris/
Richard,Hudson,R,NC-09,0,3,https://www.lcv.org/moc/richard-hudson/
Pat,Harrigan,R,NC-10,0,0,https://www.lcv.org/moc/pat-harrigan/
Chuck,Edwards,R,NC-11,3,5,https://www.lcv.org/moc/chuck-edwards/
Alma,Adams,D,NC-12,100,99,https://www.lcv.org/moc/alma-adams/
Brad,Knott,R,NC-13,0,0,https://www.lcv.org/moc/brad-knott/
Tim,Moore,R,NC-14,0,0,https://www.lcv.org/moc/tim-moore/
"North Dakota"
Julie,Fedorchak,R,AL,0,0,https://www.lcv.org/moc/julie-fedorchak/
"Northern Mariana Islands"
Kimberlyn,King-Hinds,R,AL,33,33,https://www.lcv.org/moc/kimberlyn-king-hinds/
Ohio
Greg,Landsman,D,OH-01,97,98,https://www.lcv.org/moc/greg-landsman/
David,Taylor,R,OH-02,0,0,https://www.lcv.org/moc/david-j-taylor/
Joyce,Beatty,D,OH-03,88,96,https://www.lcv.org/moc/joyce-beatty/
Jim,Jordan,R,OH-04,0,2,https://www.lcv.org/moc/jim-jordan/
Bob,Latta,R,OH-05,0,3,https://www.lcv.org/moc/bob-latta/
Michael,Rulli,R,OH-06,0,2,https://www.lcv.org/moc/michael-a-rulli/
Max,Miller,R,OH-07,0,1,https://www.lcv.org/moc/max-miller/
Warren,Davidson,R,OH-08,0,2,https://www.lcv.org/moc/warren-davidson/
Marcy,Kaptur,D,OH-09,94,86,https://www.lcv.org/moc/marcy-kaptur/
Michael,Turner,R,OH-10,6,10,https://www.lcv.org/moc/michael-r-turner/
Shontel,Brown,D,OH-11,100,98,https://www.lcv.org/moc/shontel-brown/
Troy,Balderson,R,OH-12,0,6,https://www.lcv.org/moc/troy-balderson/
Emilia,Sykes,D,OH-13,100,99,https://www.lcv.org/moc/emilia-sykes/
David,Joyce,R,OH-14,6,12,https://www.lcv.org/moc/david-p-joyce/
Mike,Carey,R,OH-15,0,4,https://www.lcv.org/moc/mike-carey/
Oklahoma
Kevin,Hern,R,OK-01,0,1,https://www.lcv.org/moc/kevin-hern/
Josh,Brecheen,R,OK-02,0,0,https://www.lcv.org/moc/josh-brecheen/
Frank,Lucas,R,OK-03,0,5,https://www.lcv.org/moc/frank-d-lucas/
Tom,Cole,R,OK-04,0,7,https://www.lcv.org/moc/tom-cole/
Stephanie,Bice,R,OK-05,0,6,https://www.lcv.org/moc/stephanie-bice/
Oregon
Suzanne,Bonamici,D,OR-01,100,99,https://www.lcv.org/moc/suzanne-bonamici/
Cliff,Bentz,R,OR-02,3,3,https://www.lcv.org/moc/cliff-bentz/
Maxine,Dexter,D,OR-03,100,100,https://www.lcv.org/moc/maxine-dexter/
Valerie,Hoyle,D,OR-04,97,98,https://www.lcv.org/moc/valerie-hoyle/
Janelle,Bynum,D,OR-05,91,91,https://www.lcv.org/moc/janelle-s-bynum/
Andrea,Salinas,D,OR-06,100,100,https://www.lcv.org/moc/andrea-salinas/
Pennsylvania
Brian,Fitzpatrick,R,PA-01,76,71,https://www.lcv.org/moc/brian-fitzpatrick/
Brendan,Boyle,D,PA-02,100,98,https://www.lcv.org/moc/brendan-boyle/
Dwight,Evans,D,PA-03,100,97,https://www.lcv.org/moc/dwight-evans/
Madeleine,Dean,D,PA-04,100,99,https://www.lcv.org/moc/madeleine-dean/
Mary,Scanlon,D,PA-05,100,99,https://www.lcv.org/moc/mary-gay-scanlon/
Chrissy,Houlahan,D,PA-06,97,97,https://www.lcv.org/moc/chrissy-houlahan/
Ryan,Mackenzie,R,PA-07,9,9,https://www.lcv.org/moc/ryan-mackenzie/
Robert,Bresnahan,R,PA-08,9,9,https://www.lcv.org/moc/robert-p-bresnahan/
Daniel,Meuser,R,PA-09,0,4,https://www.lcv.org/moc/daniel-meuser/
Scott,Perry,R,PA-10,3,2,https://www.lcv.org/moc/scott-perry/
Lloyd,Smucker,R,PA-11,0,5,https://www.lcv.org/moc/lloyd-smucker/
Summer,Lee,D,PA-12,100,100,https://www.lcv.org/moc/summer-lee/
John,Joyce,R,PA-13,0,3,https://www.lcv.org/moc/john-joyce/
Guy,Reschenthaler,R,PA-14,0,5,https://www.lcv.org/moc/guy-reschenthaler/
Glenn,Thompson,R,PA-15,0,5,https://www.lcv.org/moc/glenn-w-thompson/
Mike,Kelly,R,PA-16,0,4,https://www.lcv.org/moc/mike-kelly/
Chris,Deluzio,D,PA-17,97,97,https://www.lcv.org/moc/chris-deluzio/
"Puerto Rico"
Pablo,Hernández,D,AL,100,100,https://www.lcv.org/moc/pablo-jose-hernandez/
"Rhode Island"
Gabe,Amo,D,RI-01,100,100,https://www.lcv.org/moc/gabe-amo/
Seth,Magaziner,D,RI-02,94,98,https://www.lcv.org/moc/seth-magaziner/
"South Carolina"
Nancy,Mace,R,SC-01,6,19,https://www.lcv.org/moc/nancy-mace/
Joe,Wilson,R,SC-02,0,3,https://www.lcv.org/moc/joe-wilson/
Sheri,Biggs,R,SC-03,0,0,https://www.lcv.org/moc/sheri-biggs/
William,Timmons,R,SC-04,0,4,https://www.lcv.org/moc/william-timmons/
Ralph,Norman,R,SC-05,0,1,https://www.lcv.org/moc/ralph-norman/
James,Clyburn,D,SC-06,94,88,https://www.lcv.org/moc/james-e-clyburn/
Russell,Fry,R,SC-07,0,2,https://www.lcv.org/moc/russell-fry/
"South Dakota"
Dusty,Johnson,R,AL,0,5,https://www.lcv.org/moc/dusty-johnson/
Tennessee
Diana,Harshbarger,R,TN-01,0,0,https://www.lcv.org/moc/diana-harshbarger/
Tim,Burchett,R,TN-02,0,4,https://www.lcv.org/moc/tim-burchett/
Chuck,Fleischmann,R,TN-03,0,5,https://www.lcv.org/moc/chuck-fleischmann/
Scott,DesJarlais,R,TN-04,0,2,https://www.lcv.org/moc/scott-desjarlais/
William,Ogles,R,TN-05,0,1,https://www.lcv.org/moc/william-ogles/
John,Rose,R,TN-06,0,2,https://www.lcv.org/moc/john-rose/
Mark,Green,R,TN-07,0,1,https://www.lcv.org/moc/mark-green/
Matt,"Van Epps",R,TN-07,0,0,https://www.lcv.org/moc/matt-van-epps/
David,Kustoff,R,TN-08,0,4,https://www.lcv.org/moc/david-kustoff/
Steve,Cohen,D,TN-09,96,97,https://www.lcv.org/moc/steve-cohen/
Texas
Nathaniel,Moran,R,TX-01,0,0,https://www.lcv.org/moc/nathaniel-moran/
Dan,Crenshaw,R,TX-02,0,6,https://www.lcv.org/moc/dan-crenshaw/
Keith,Self,R,TX-03,3,1,https://www.lcv.org/moc/keith-self/
Pat,Fallon,R,TX-04,0,1,https://www.lcv.org/moc/pat-fallon/
Lance,Gooden,R,TX-05,0,2,https://www.lcv.org/moc/lance-gooden/
Jake,Ellzey,R,TX-06,0,5,https://www.lcv.org/moc/jake-ellzey/
Lizzie,Fletcher,D,TX-07,94,94,https://www.lcv.org/moc/lizzie-fletcher/
Morgan,Luttrell,R,TX-08,0,0,https://www.lcv.org/moc/morgan-luttrell/
Al,Green,D,TX-09,100,90,https://www.lcv.org/moc/al-green/
Michael,McCaul,R,TX-10,3,8,https://www.lcv.org/moc/michael-t-mccaul/
August,Pfluger,R,TX-11,0,0,https://www.lcv.org/moc/august-pfluger/
Craig,Goldman,R,TX-12,0,0,https://www.lcv.org/moc/craig-a-goldman/
Ronny,Jackson,R,TX-13,0,0,https://www.lcv.org/moc/ronny-jackson/
Randy,Weber,R,TX-14,0,1,https://www.lcv.org/moc/randy-k-weber/
Mónica,"De La Cruz",R,TX-15,0,0,https://www.lcv.org/moc/monica-de-la-cruz/
Veronica,Escobar,D,TX-16,100,98,https://www.lcv.org/moc/veronica-escobar/
Pete,Sessions,R,TX-17,3,3,https://www.lcv.org/moc/pete-sessions/
Sylvester,Turner,D,TX-18,100,100,https://www.lcv.org/moc/sylvester-turner/
Christian,Menefee,D,TX-18,na,na,https://www.lcv.org/moc/christian-menefee/
Jodey,Arrington,R,TX-19,0,1,https://www.lcv.org/moc/jodey-arrington/
Joaquin,Castro,D,TX-20,100,96,https://www.lcv.org/moc/joaquin-castro/
Chip,Roy,R,TX-21,0,2,https://www.lcv.org/moc/chip-roy/
Troy,Nehls,R,TX-22,0,1,https://www.lcv.org/moc/troy-nehls/
Tony,Gonzales,R,TX-23,0,7,https://www.lcv.org/moc/tony-gonzales/
Beth,"Van Duyne",R,TX-24,0,2,https://www.lcv.org/moc/beth-van-duyne/
Roger,Williams,R,TX-25,0,2,https://www.lcv.org/moc/roger-williams/
Brandon,Gill,R,TX-26,0,0,https://www.lcv.org/moc/brandon-gill/
Michael,Cloud,R,TX-27,3,0,https://www.lcv.org/moc/michael-cloud/
Henry,Cuellar,D,TX-28,42,51,https://www.lcv.org/moc/henry-cuellar/
Sylvia,Garcia,D,TX-29,100,97,https://www.lcv.org/moc/sylvia-garcia/
Jasmine,Crockett,D,TX-30,100,99,https://www.lcv.org/moc/jasmine-crockett/
John,Carter,R,TX-31,0,4,https://www.lcv.org/moc/john-r-carter/
Julie,Johnson,D,TX-32,91,91,https://www.lcv.org/moc/julie-johnson/
Marc,Veasey,D,TX-33,79,91,https://www.lcv.org/moc/marc-a-veasey/
Vicente,Gonzalez,D,TX-34,55,75,https://www.lcv.org/moc/vicente-gonzalez/
Greg,Casar,D,TX-35,100,98,https://www.lcv.org/moc/greg-casar/
Brian,Babin,R,TX-36,0,1,https://www.lcv.org/moc/brian-babin/
Lloyd,Doggett,D,TX-37,100,98,https://www.lcv.org/moc/lloyd-a-doggett/
Wesley,Hunt,R,TX-38,0,0,https://www.lcv.org/moc/wesley-hunt/
Utah
Blake,Moore,R,UT-01,0,7,https://www.lcv.org/moc/blake-moore/
Celeste,Maloy,R,UT-02,3,5,https://www.lcv.org/moc/celeste-maloy/
Mike,Kennedy,R,UT-03,0,0,https://www.lcv.org/moc/mike-kennedy/
Burgess,Owens,R,UT-04,0,4,https://www.lcv.org/moc/burgess-owens/
Vermont
Becca,Balint,D,AL,100,99,https://www.lcv.org/moc/becca-balint/
"Virgin Islands"
Stacey,Plaskett,D,AL,67,66,https://www.lcv.org/moc/stacey-plaskett/
Virginia
Rob,Wittman,R,VA-01,3,9,https://www.lcv.org/moc/rob-wittman/
Jennifer,Kiggans,R,VA-02,6,11,https://www.lcv.org/moc/jennifer-kiggans/
Robert,Scott,D,VA-03,100,93,https://www.lcv.org/moc/robert-c-scott/
Jennifer,McClellan,D,VA-04,100,100,https://www.lcv.org/moc/jennifer-mcclellan/
John,McGuire,R,VA-05,0,0,https://www.lcv.org/moc/john-j-mcguire/
Ben,Cline,R,VA-06,0,1,https://www.lcv.org/moc/ben-cline/
Eugene,Vindman,D,VA-07,88,88,https://www.lcv.org/moc/eugene-simon-vindman/
Donald,Beyer,D,VA-08,100,97,https://www.lcv.org/moc/donald-beyer/
Morgan,Griffith,R,VA-09,3,6,https://www.lcv.org/moc/morgan-griffith/
Suhas,Subramanyam,D,VA-10,100,100,https://www.lcv.org/moc/suhas-subramanyam/
Gerald,Connolly,D,VA-11,100,97,https://www.lcv.org/moc/gerald-e-connolly/
James,Walkinshaw,D,VA-11,100,100,https://www.lcv.org/moc/james-walkinshaw/
Washington
Suzan,DelBene,D,WA-01,100,96,https://www.lcv.org/moc/suzan-k-delbene/
Rick,Larsen,D,WA-02,97,93,https://www.lcv.org/moc/rick-larsen/
Marie,"Gluesenkamp Perez",D,WA-03,48,57,https://www.lcv.org/moc/marie-gluesenkamp-perez/
Dan,Newhouse,R,WA-04,6,7,https://www.lcv.org/moc/dan-newhouse/
Michael,Baumgartner,R,WA-05,0,0,https://www.lcv.org/moc/michael-baumgartner/
Emily,Randall,D,WA-06,100,100,https://www.lcv.org/moc/emily-randall/
Pramila,Jayapal,D,WA-07,100,98,https://www.lcv.org/moc/pramila-jayapal/
Kim,Schrier,D,WA-08,97,97,https://www.lcv.org/moc/kim-schrier/
Adam,Smith,D,WA-09,100,93,https://www.lcv.org/moc/adam-smith/
Marilyn,Strickland,D,WA-10,97,97,https://www.lcv.org/moc/marilyn-strickland/
"West Virginia"
Carol,Miller,R,WV-01,0,5,https://www.lcv.org/moc/carol-miller/
Riley,Moore,R,WV-02,0,0,https://www.lcv.org/moc/riley-m-moore/
Wisconsin
Bryan,Steil,R,WI-01,0,10,https://www.lcv.org/moc/bryan-steil/
Mark,Pocan,D,WI-02,100,98,https://www.lcv.org/moc/mark-pocan/
Derrick,"Van Orden",R,WI-03,6,9,https://www.lcv.org/moc/derrick-van-orden/
Gwen,Moore,D,WI-04,94,95,https://www.lcv.org/moc/gwen-moore/
Scott,Fitzgerald,R,WI-05,0,1,https://www.lcv.org/moc/scott-fitzgerald/
Glenn,Grothman,R,WI-06,0,3,https://www.lcv.org/moc/glenn-grothman/
Tom,Tiffany,R,WI-07,0,1,https://www.lcv.org/moc/tom-tiffany/
Tony,Wied,R,WI-08,0,0,https://www.lcv.org/moc/tony-wied/
Wyoming
Harriet,Hageman,R,AL,0,1,https://www.lcv.org/moc/harriet-hageman/
